web_scraper_order,web_scraper_start_url,container_links,marque_modele,annee,prix,kilometrage,type_boite_de_vitesse,region_de_vente
"1786366208-102,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-2-dakar-dakar-2761"",""Nissan Qashqai+2"",""2013"",""CFA 6 500 000"",""101 000 km"",""Manuelle"",""Dakar"""
"1786366214-103,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-250-dakar-dakar-2640"",""Mercedes‒Benz 250"",""2004"",""CFA 1 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366220-104,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-813"",""Renault Laguna"",""2004"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366230-105,""https://www.gaaraas.com/fr/users/dakar-auto?page=8"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-3566"",""Peugeot 206"",""2009"",""CFA 2 000 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786366245-106,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-838"",""Peugeot 307"",""2007"",""CFA 2 300 000"",""137 000 km"",""Manuelle"",""Dakar"""
"1786366250-107,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-851"",""Peugeot 207"",""2010"",""CFA 3 200 000"",""144 410 km"",""Manuelle"",""Dakar"""
"1786366257-108,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2295"",""Citroen Berlingo"",""2008"",""CFA 2 300 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366261-109,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-4134"",""Citroen Berlingo"",""2007"",""CFA 2 000 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366267-110,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2298"",""Skoda Octavia"",""2012"",""CFA 3 500 000"",""147 000 km"",""Manuelle"",""Dakar"""
"1786366274-111,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2040"",""Citroen C4"",""2007"",""CFA 2 100 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366280-112,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2726"",""Renault 19"",""2002"",""CFA 2 100 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366287-113,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-3222"",""Ford Edge"",""2011"",""CFA 10 000 000"",""105 000 km"",""Automatique"",""Dakar"""
"1786366295-114,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-rogue-dakar-dakar-2440"",""Nissan Rogue"",""2009"",""CFA 5 500 000"",""160 000 km"",""Automatique"",""Dakar"""
"1786366302-115,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1704"",""Renault Laguna"",""2007"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366310-116,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-fusion-dakar-dakar-4194"",""Ford Fusion"",""2009"",""CFA 2 000 000"",""144 000 km"",""Automatique"",""Dakar"""
"1786366318-117,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-845"",""Citroen C3"",""2007"",""CFA 2 000 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366325-118,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615"",""Renault 19"",""2000"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366332-119,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1874"",""Citroen C3"",""2006"",""CFA 1 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366339-120,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-sandero-dakar-dakar-885"",""Dacia Sandero"",""2009"",""CFA 2 800 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366349-121,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-2190"",""Toyota Corolla"",""2004"",""CFA 2 700 000"",""28 752 km"",""Manuelle"",""Dakar"""
"1786366356-122,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-1590"",""Renault Scenic"",""2006"",""CFA 2 300 000"",""200 000 km"",""Manuelle"",""Dakar"""
"1786366362-123,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-sail-dakar-dakar-2068"",""Chevrolet Sail"",""2013"",""CFA 2 200 000"",""90 000 km"",""Manuelle"",""Dakar"""
"1786366369-124,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4199"",""Citroen C3"",""2011"",""CFA 2 800 000"",""136 000 km"",""Manuelle"",""Dakar"""
"1786366378-125,""https://www.gaaraas.com/fr/users/dakar-auto?page=7"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-734"",""Peugeot 307"",""2008"",""CFA 3 200 000"",""128 000 km"",""Manuelle"",""Dakar"""
"1786366394-126,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-2439"",""Land Rover Range Rover Sport"",""2009"","""",""160 000 km"",""Automatique"",""Dakar"""
"1786366401-127,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-carnival-dakar-dakar-2623"",""Kia Carnival"",""2008"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366409-128,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-407"",""Peugeot 308"",""2008"",""CFA 2 500 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366417-129,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899"",""Ford Edge"",""2008"",""CFA 7 000 000"",""125 000 km"",""Automatique"",""Dakar"""
"1786366427-130,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415"",""Ford Escape"",""2006"",""CFA 4 500 000"",""120 000 km"",""Automatique"",""Dakar"""
"1786366432-131,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1928"",""Skoda Octavia"",""2008"",""CFA 1 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366439-132,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4273"",""Citroen C5"",""2008"",""CFA 2 700 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786366445-133,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-886"",""Renault Megane"",""2006"",""CFA 1 600 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366452-134,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-4139"",""Nissan Altima"",""2014"",""CFA 2 500 000"",""110 000 km"",""Automatique"",""Dakar"""
"1786366459-135,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1764"",""Peugeot 307"",""2007"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366468-136,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855"",""Nissan Murano"",""2008"",""CFA 3 200 000"",""115 305 km"",""Automatique"",""Dakar"""
"1786366475-137,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-aygo-dakar-dakar-1778"",""Toyota Aygo"",""2009"",""CFA 2 700 000"",""150 000 km"",""Manuelle"",""Dakar"""
"1786366483-138,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3585"",""Peugeot 307"",""2007"",""CFA 2 100 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366492-139,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-270"",""Volkswagen Passat"",""2007"",""CFA 1 600 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366499-140,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3546"",""Peugeot 307"",""2007"",""CFA 2 100 000"",""132 000 km"",""Manuelle"",""Dakar"""
"1786366508-141,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-21-dakar-dakar-2157"",""Renault 21"",""2002"",""CFA 2 700 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366516-142,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-908"",""Peugeot 207"",""2008"",""CFA 1 800 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366524-143,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-bmw-x1-dakar-dakar-280"",""BMW X1"",""2010"",""CFA 3 700 000"",""150 000 km"",""Automatique"",""Dakar"""
"1786366533-144,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-880"",""Toyota Corolla"",""2008"",""CFA 3 300 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366541-145,""https://www.gaaraas.com/fr/users/dakar-auto?page=6"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1147"",""Peugeot 308"",""2008"",""CFA 3 300 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366561-146,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2086"",""Peugeot 307"",""2007"",""CFA 2 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366568-147,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-876"",""Mitsubishi L200"",""2009"",""CFA 7 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366574-148,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1799"",""Citroen C3"",""2008"",""CFA 1 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366581-149,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-asx-dakar-dakar-1150"",""Mitsubishi ASX"",""2011"",""CFA 6 000 000"",""94 954 km"",""Manuelle"",""Dakar"""
"1786366587-150,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-762"",""Peugeot 206"",""2008"",""CFA 2 300 000"",""164 000 km"",""Manuelle"",""Dakar"""
"1786366594-151,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2808"",""Jeep Patriot"",""2010"",""CFA 3 900 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366600-152,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-bmw-315-dakar-dakar-4141"",""BMW 315"",""2007"",""CFA 1 500 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366609-153,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364"",""Peugeot 307"",""2007"",""CFA 2 500 000"",""120 000 km"",""Automatique"",""Dakar"""
"1786366618-154,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-4163"",""Toyota RAV4"",""2008"",""CFA 2 900 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786366626-155,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1890"",""Renault 19"",""2000"",""CFA 1 800 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366636-156,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-logan-dakar-dakar-2773"",""Renault Logan"",""2007"",""CFA 2 900 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366647-157,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-4136"",""Citroen C3"",""2008"",""CFA 2 100 000"",""110 000 km"",""Manuelle"",""Dakar"""
"1786366656-158,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-4198"",""Peugeot 308"",""2007"",""CFA 2 800 000"",""230 000 km"",""Manuelle"",""Dakar"""
"1786366666-159,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-2514"",""Peugeot 405"",""2002"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366674-160,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-civic-dakar-dakar-806"",""Honda Civic"",""2007"",""CFA 2 300 000"",""180 000 km"",""Automatique"",""Dakar"""
"1786366686-161,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2371"",""Peugeot 307"",""2008"",""CFA 2 600 000"",""250 000 km"",""Manuelle"",""Dakar"""
"1786366692-162,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-1998"",""Mitsubishi L200"",""2008"",""CFA 7 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366699-163,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575"",""Peugeot 307"",""2008"",""CFA 2 800 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366709-164,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-elysion-dakar-dakar-1905"",""Honda Elysion"",""2011"",""CFA 3 500 000"",""160 000 km"",""Automatique"",""Dakar"""
"1786366714-165,""https://www.gaaraas.com/fr/users/dakar-auto?page=5"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1895"",""Renault Laguna"",""2007"",""CFA 2 300 000"",""84 000 km"",""Manuelle"",""Dakar"""
"1786366724-166,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-583"",""Peugeot 307"",""2008"",""CFA 2 500 000"",""128 000 km"",""Manuelle"",""Dakar"""
"1786366729-167,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-1153"",""Opel Astra"",""2003"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366735-168,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-4351"",""Nissan Murano"",""2011"",""CFA 2 300 000"",""188 000 km"",""Automatique"",""Dakar"""
"1786366741-169,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-land-cruiser-prado-dakar-dakar-4202"",""Toyota Land Cruiser Prado"",""2005"",""CFA 3 800 000"",""130 000 km"",""Manuelle"",""Dakar"""
"1786366754-170,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-895"",""Peugeot 308"",""2012"",""CFA 3 800 000"",""103 000 km"",""Manuelle"",""Dakar"""
"1786366759-171,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-406"",""Volkswagen Passat"",""2007"",""CFA 2 000 000"",""90 000 km"",""Automatique"",""Dakar"""
"1786366765-172,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2610"",""Renault Scenic"",""2005"",""CFA 2 200 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366770-173,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-3571"",""Hyundai Tucson"",""2009"",""CFA 4 000 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366775-174,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-3645"",""Mercedes‒Benz 190"",""2004"",""CFA 2 200 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366780-175,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3057"",""Ford Focus"",""2006"",""CFA 2 150 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366786-176,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380"",""Citroen C5"",""2005"",""CFA 2 100 000"",""334 000 km"",""Manuelle"",""Dakar"""
"1786366790-177,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3463"",""Peugeot 307"",""2008"",""CFA 3 200 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366795-178,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-2193"",""Volkswagen Golf"",""2000"",""CFA 1 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366801-179,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3068"",""Peugeot 308"",""2009"",""CFA 3 600 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366809-180,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152"",""Peugeot 406"",""2003"",""CFA 2 600 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366814-181,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304"",""Citroen C3"",""N/A"",""CFA 1 800 000"",""220 000 km"",""Manuelle"",""Dakar"""
"1786366819-182,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1861"",""Renault 19"",""1989"",""CFA 2 300 000"",""180 000 km"",""Manuelle"",""Dakar"""
"1786366824-183,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-3223"",""Peugeot 406"",""2002"",""CFA 2 200 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366829-184,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1132"",""Renault Megane"",""2008"",""CFA 1 600 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366835-185,""https://www.gaaraas.com/fr/users/dakar-auto?page=4"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-848"",""Dacia Logan"",""2010"",""CFA 2 000 000"",""161 000 km"",""Manuelle"",""Dakar"""
"1786366846-186,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1341"",""Peugeot 307"",""2007"",""CFA 2 400 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366851-187,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026"",""Ford Focus"",""2014"",""CFA 4 500 000"",""115 000 km"",""Automatique"",""Dakar"""
"1786366856-188,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807"",""Kia Sorento"",""2009"",""CFA 3 800 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366860-189,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569"",""Peugeot 407"",""2007"",""CFA 2 800 000"",""120 000 km"",""Manuelle"",""Dakar"""
"1786366866-190,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989"",""Peugeot 207"",""2012"",""CFA 3 800 000"",""142 000 km"",""Automatique"",""Dakar"""
"1786366873-191,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-4140"",""Hyundai Tucson"",""2008"",""CFA 2 600 000"",""110 000 km"",""Manuelle"",""Dakar"""
"1786366878-192,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2430"",""Citroen Berlingo"",""2008"",""CFA 3 300 000"",""214 000 km"",""Manuelle"",""Dakar"""
"1786366884-193,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-740"",""Volkswagen Golf"",""2003"",""CFA 2 500 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366889-194,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2214"",""Citroen C4"",""2008"",""CFA 2 100 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366894-195,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-2806"",""Hyundai Tucson"",""2008"",""CFA 3 400 000"",""140 000 km"",""Manuelle"",""Dakar"""
"1786366899-196,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-soul-dakar-dakar-2469"",""Kia Soul"",""2010"",""CFA 3 500 000"",""172 900 km"",""Manuelle"",""Dakar"""
"1786366905-197,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-spacestar-dakar-dakar-2614"",""Mitsubishi Spacestar"",""2008"",""CFA 2 000 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366910-198,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-2296"",""Dacia Logan"",""2009"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366917-199,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-605-dakar-dakar-2622"",""Peugeot 605"",""2004"",""CFA 2 200 000"",""160 000 km"",""Manuelle"",""Dakar"""
"1786366922-200,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-3432"",""Nissan Qashqai"",""2014"",""CFA 7 800 000"",""63 000 km"",""Automatique"",""Dakar"""
"1786366927-201,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-1235"",""Hyundai Elantra"",""2013"",""CFA 6 500 000"",""66 000 km"",""Automatique"",""Dakar"""
"1786366933-202,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-820"",""Volkswagen Passat"",""2006"",""CFA 2 500 000"",""164 686 km"",""Manuelle"",""Dakar"""
"1786366939-203,""https://www.gaaraas.com/fr/users/dakar-auto?page=3"",""https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-3470"",""Volkswagen Passat"",""2007"",""CFA 2 900 000"",""265 000 km"",""Manuelle"",""Dakar"""
